NAME_OF_POPULATION,lat',lon'
Powers Hollow,37.281763,-81.33027
Brush Creek Falls1,37.281763,-81.33027
Carter Caves,38.22027,-83.07409
Bluerock,38.555584,-79.131435
Sweet Lilly Ridge,36.93829774,-84.56717353
The Pinnacle,36.575016,-82.3547
SELU,37.050129,-80.333659
Knobbs Mountain,38.47285,-78.174912
Lutzville,40.00842745,-78.43550965
Saint Clairesville,40.155985,-78.510515
Shawnee State Park,40.0341,-78.6343
Town Creek,39.58903,-78.56191
Smoke Hole,38.545451,-79.141416
False Castle Rock,38.553138,-79.14252